"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"031319","11:46:52","684060849","154435111","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","2721","0"
"031319","11:10:01","947604216","918119646","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","I think you were measuring our immediate reactions to the 'distraction' pictures ie gender, race, natural disaster as to whether we class them as pleasant or unpleasant ","1","126268","0"
"031319","11:19:50","938957815","410460513","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Sometimes I clicked the wrong answer by mistake, never meant to actually put bad for a certain pleasant image or good for an unpleasant image. Kinda made me feel like a terrible person.","1","55314","0"
"031319","11:36:21","422210082","927208245","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","28074","0"
"031319","11:37:45","405595892","136535858","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","2673","0"
"031319","11:38:47","147089997","275419729","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","3132","0"
"031319","11:41:24","571546897","702310898","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","it was fast and very difficult","1","13811","0"
"031319","11:42:12","557626707","333573261","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","I found it frustating whenever I got the answer incorrect and found that being told I was wrong would throw me off. I think this experiment was a was of measuring how people of different ethnicities are percieved as ""good"" vs ""bad"" which also played on my mind a lot as I was carrying out the test. Finisally I was told that the baby was ""good"" however this was not how i felt when i saw this image and I found it hard to therefore assign it as ""good"" with a short space of time.","1","140324","0"
"031319","05:44:32","408962756","582774425","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","5548","0"
"031319","11:44:52","344491254","695360630","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","16012","0"
"031319","11:44:46","516645082","85657314","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","A bit of eye strain","1","40429","0"
"031319","11:44:46","958914906","17040152","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","I think you were measuring people's reactions negative or postive to race. Think was slightly too long.","1","51398","0"
"031319","11:47:43","512822098","480092920","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","15819","0"
"031319","11:49:40","947122830","759411691","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Frustrating when you get them wrong!","1","8908","0"
"031319","11:49:58","113772914","593939458","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","12724","0"
"031319","11:50:39","778092802","66170298","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","4065","0"
"031319","11:51:08","734385249","688124465","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","5867","0"
"031319","11:54:11","566046438","888781862","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","4540","0"
"031319","11:51:29","985987574","898435423","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Quite fun, not sure what you were trying to find out exactly. Perhaps could improve it with a larger variety of pleasent/unpleasent images and inform the participant what constitutes as a pleasent/unpleasent image, for instance that fire image was beautiful to me. Have a nice day!","1","184273","0"
"031319","11:56:08","685310113","737199599","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","3512","0"
"031319","11:56:41","803999020","471036609","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","6424","0"
"031319","11:56:46","560226976","862282735","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","3675","0"
"031319","11:55:35","709608636","254999475","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","It was quite hard to see what some of the images were eg the messy rooms so would have been easier if the 'unpleasant' images were a bit simpler","1","29578","0"
"031319","11:56:53","151562966","270946760","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","I found I sometimes pressed the wrong key even though I knew it was wrong - infuriating!","1","28147","0"
"031319","11:58:52","959995358","767208038","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","2741","0"
"031319","11:57:28","153526245","810765108","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Interesting - not sure - would wonder if the faces were part of the study, but not sure how and the 800 ms was very quick","1","106742","0"
"031319","11:58:50","149682562","257822952","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","29903","0"
"031319","11:59:23","473491007","563278836","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","11961","0"
"031319","12:00:22","502632974","534136869","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","13393","0"
"031319","12:00:49","791265242","49302935","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","The experiment assumed that I liked babies (I don't, I can't stand them), and although I assume it was about racial bias, all the ""mugshots"" looked like photos from prison or an institution, so I couldn't call them ""pleasant"".","1","96962","0"
"031319","12:03:48","369993002","209736318","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","It seemed to say too slow even when I thought I was really quick. I thought the length of the study was appropriate. Probably measuring some sort of implicit racial bias as the faces werent included in the trials","1","81293","0"
"031319","12:06:07","476314723","926703949","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","6303","0"
"031319","12:06:55","909561069","902383427","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","5541","0"
"031319","05:07:07","905397340","979025654","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","6983","0"
"031319","12:07:38","225636544","48221261","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","6501","0"
"031319","12:07:37","138790098","897979749","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","8824","0"
"031319","09:37:39","423492878","678527034","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","14794","0"
"031319","12:08:49","364780386","737239526","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","5697","0"
"031319","12:08:33","790813161","273402521","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Incredibly boring, but I guess measuring response/ concentration and potentially racial bias. NB: I clicked M for almost all of the other images as it was easier.","1","36247","0"
"031319","12:09:49","407618917","251978747","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","it challenging to concentrate","1","24024","0"
"031319","12:11:16","281582781","140926942","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","I think I found it easier to select the 'unpleasant' images that the pleasant ones. The unpleasant just stood out better in my mind.","1","35870","0"
"031319","22:11:23","195635887","77923792","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","41741","0"
"031319","12:10:32","639855294","867395522","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Sometimes frustrating as time to respond was so quick. Potentially measuring racial / gender bias or what makes us percieve an image as positive or negative.","1","124048","0"
"031319","12:14:59","650935520","8662148","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","study was interesting and quite fun. I presume you are researching how distractions affect reaction times.","1","140704","0"
"031319","12:20:06","759482914","840732580","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","Not at all boring. Likely to be a subconcious racism test? ","1","52293","0"
"031319","23:38:56","431395931","128456418","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","11393","0"
"031319","12:33:35","62153377","370994290","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","It was interesting but very repetitive of the same image and so got boring pretty quickly. ","1","29301","0"
"031319","12:45:23","140560918","289903599","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","12488","0"
"031319","12:48:09","110304131","188096480","4.0.10.0","1","1","exploratory","exploratory","0","0","0","0","0","0","","1","2453","0"
